Rk,Player,Age,Team,Pos,G,GS,0-19 FGA,0-19 FGM,20-29 FGA,20-29 FGM,30-39 FGA,30-39 FGM,40-49 FGA,40-49 FGM,50+ FGA,50+ FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Awards
34,Harrison Mevis,23,LAR,K,9,0,0,0,3,3,3,3,6,5,1,1,13,12,52,92.3,39,39,100,6,370,2,33.3,62,
35,Michael Badgley,30,2TM,K,9,0,0,0,1,1,3,3,5,5,3,2,12,11,53,91.7,25,20,80,46,2670,1,2.2,58,
35,Michael Badgley,30,IND,K,7,0,0,0,1,1,3,3,4,4,3,2,11,10,53,90.9,21,18,85.7,38,2279,1,2.6,60,
35,Michael Badgley,30,BUF,K,2,0,0,0,0,0,0,0,1,1,0,0,1,1,41,100,4,2,50,8,391,0,0,49,
36,Jake Moody,26,3TM,K,9,0,0,0,7,5,8,7,6,5,2,2,23,19,56,82.6,16,15,93.8,43,2567,10,23.3,60,
36,Jake Moody,26,SFO,K,1,0,0,0,1,0,2,1,0,0,0,0,3,1,32,33.3,2,2,100,4,251,2,50,63,
36,Jake Moody,26,CHI,K,2,0,0,0,2,2,3,3,4,3,0,0,9,8,48,88.9,3,3,100,13,800,4,30.8,62,
36,Jake Moody,26,WAS,K,6,0,0,0,4,3,3,3,2,2,2,2,11,10,56,90.9,11,10,90.9,26,1516,4,15.4,58,
37,Graham Gano,38,NYG,K,5,0,0,0,3,3,4,4,2,1,1,1,10,9,55,90,9,9,100,11,663,0,0,60,
38,Ben Sauls,24,NYG,K,3,0,0,0,3,3,4,4,1,1,0,0,8,8,45,100,7,7,100,10,593,5,50,59,
39,Younghoe Koo,31,2TM,K,6,0,1,1,1,1,2,2,3,2,2,0,9,6,44,66.7,14,13,92.9,25,1509,3,12,60,
39,Younghoe Koo,31,ATL,K,1,0,0,0,0,0,1,1,2,1,0,0,3,2,41,66.7,2,2,100,5,280,1,20,56,
39,Younghoe Koo,31,NYG,K,5,0,1,1,1,1,1,1,1,1,2,0,6,4,44,66.7,12,11,91.7,20,1229,2,10,62,
40,Lucas Havrisik,26,GNB,K,3,0,0,0,0,0,2,2,1,1,1,1,4,4,61,100,9,7,77.8,16,1005,5,31.3,63,
41,Matthew Wright,29,3TM,K,4,0,0,0,1,1,1,1,3,3,0,0,5,5,46,100,4,4,100,14,861,2,14.3,62,
41,Matthew Wright,29,TEN,K,1,0,0,0,0,0,0,0,1,1,0,0,1,1,46,100,1,1,100,2,128,0,0,64,
41,Matthew Wright,29,WAS,K,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,1,100,2,121,0,0,61,
41,Matthew Wright,29,HOU,K,2,0,0,0,1,1,1,1,2,2,0,0,4,4,43,100,2,2,100,10,612,2,20,61,
42,Jude McAtamney,25,NYG,K,4,0,0,0,1,1,1,1,0,0,0,0,2,2,31,100,12,9,75,5,313,2,40,63,
43,Corey Bojorquez,29,CLE,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,9,0,0,9,
44,AJ Cole III,30,LVR,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,18,0,0,18,
45,Ray Davis,26,BUF,RB,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,7,0,0,7,AP-1
46,Ethan Evans,24,LAR,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,61,3914,46,75.4,64,
47,Jamie Gillan,28,NYG,P,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,40,2245,5,12.5,56,
48,Johnny Hekker,35,TEN,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,3,23,0,0,8,
49,Sam Martin,35,CAR,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,2,22,0,0,11,
50,Austin McNamara,24,NYJ,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,43,2551,4,9.3,59,
51,Thomas Morstead,39,SFO,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,3,133,1,33.3,44,
52,Bradley Pinion,31,ATL,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,41,2523,10,24.4,62,
53,Ryan Rehkow,27,CIN,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,1,26,0,0,26,
54,Rigoberto Sanchez,31,IND,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,9,371,2,22.2,41,
55,Tory Taylor,28,CHI,P,17,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,2,122,0,0,61,
56,Mitch Wishnowsky,33,BUF,P,13,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,,3,175,0,0,58,
