Rk,Player,Age,Team,Pos,G,GS,Int,Int Yds,IntTD,Lng Int,PD,FF,Fmb,FR,Yds,FR TD,Sack,Comb Tackles,Solo Tackles,Tackle Ast,TFL,QBHits,Safety,Awards
1365,Joe Milton,25,DAL,QB,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
1366,Kobee Minor,23,NWE,DB,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
1367,Jarius Monroe,25,NYJ,S,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,
1368,Bilal Nichols,29,ARI,DL,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,
1369,Payton Page,23,NYJ,DT,4,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,1,0,0,
1370,Jordon Riley,27,GNB,DL,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,
1371,Hayden Rucci,24,MIA,TE,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1372,Miles Sanders,28,DAL,RB,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
1373,Daniel Scott,27,IND,S,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,
1374,Trey Sermon,26,PIT,RB,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1375,Jaylin Smith,22,HOU,CB,4,0,0,0,0,0,0,0,0,1,0,0,0,6,3,3,0,0,0,
1376,Darrell Taylor,28,HOU,DE,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,
1377,Reese Taylor,26,DEN,CB,4,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,
1378,Ar'Darius Washington,26,BAL,S,4,0,0,0,0,0,0,1,0,0,0,0,1,7,3,4,1,3,0,
1379,Trey Washington,23,IND,S,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,
1380,Marco Wilson,26,CIN,CB,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,
1381,Nick Bosa,28,SFO,DL,3,3,0,0,0,0,0,2,0,1,0,0,2,17,9,8,4,3,0,
1382,James Conner,30,ARI,RB,3,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
1383,Ed Oliver,28,BUF,DT,3,3,0,0,0,0,0,1,0,0,0,0,3,12,10,2,7,5,0,
1384,Philip Rivers,44,IND,QB,3,3,0,0,0,0,0,0,2,1,-5,0,0,0,0,0,0,0,0,
1385,Calijah Kancey,24,TAM,DL,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,
1386,Raheem Layne,26,NYG,S,3,2,0,0,0,0,0,0,0,0,0,0,0,9,7,2,1,0,0,
1387,Azeez Ojulari,25,PHI,OLB,3,2,0,0,0,0,0,0,0,0,0,0,0,6,2,4,1,1,0,
1388,Chris Oladokun,28,KAN,QB,3,2,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,
1389,Jameis Winston,31,NYG,QB,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
1390,Kyler Gordon,26,CHI,DB,3,1,0,0,0,0,0,0,0,1,0,0,1,7,5,2,1,1,0,
1391,Nick Jackson,24,TAM,LB,3,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,
1392,Brandon Johnson,22,PHI,DB,3,1,0,0,0,0,1,0,0,0,0,0,0,3,1,2,0,0,0,
1393,Eric Kendricks,33,SFO,LB,3,1,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,
1394,Reuben Lowery,23,BAL,S,3,1,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,
1395,Keidron Smith,26,NYJ,DB,3,1,0,0,0,0,0,0,0,0,0,0,0,15,7,8,0,0,0,
1396,K'Von Wallace,28,HOU,CB,3,1,0,0,0,0,0,0,0,0,0,0,0,9,7,2,2,0,0,
1397,Broderick Washington Jr.,29,BAL,DL,3,1,0,0,0,0,1,0,0,0,0,0,0,4,1,3,0,0,0,
1398,Chigozie Anusiem,25,LVR,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,
1399,Cornell Armstrong,30,MIA,CB,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,
1400,Tyson Bagent,25,CHI,QB,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
1401,Boogie Basham,28,CAR,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,
1402,Chris Blair,28,ATL,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,
