Rk,Player,Age,Team,Pos,G,GS,Punt Returns,Punt Return Yds,Punt Return TD,Lng Punt Return,Y/cPunt Ret,Kick Returns,Kick Return Yds,KR TD,Lng Kick Return,Y/ Kick Ret,APYd,Awards
191,Zamir White,26,LVR,RB,6,0,0,0,0,0,,11,294,0,34,26.7,350,
192,Jordan Whittington,25,LAR,WR,17,6,0,0,0,0,,17,434,0,38,25.5,617,
193,Josh Williams,25,TAM,RB,3,0,0,0,0,0,,5,129,0,28,25.8,140,
194,Kyle Williams,23,NWE,WR,17,0,0,0,0,0,,11,290,0,36,26.4,502,
195,Savion Williams,24,GNB,WR,12,0,0,0,0,0,,28,717,0,36,25.6,832,
196,Trayveon Williams,28,2TM,RB,7,0,0,0,0,0,,9,212,0,29,23.6,303,
196,Trayveon Williams,28,LAC,RB,3,0,0,0,0,0,,3,73,0,26,24.3,72,
196,Trayveon Williams,28,CLE,RB,4,0,0,0,0,0,,6,139,0,29,23.2,231,
197,Emanuel Wilson,26,GNB,RB,17,2,0,0,0,0,,9,233,0,33,25.9,828,
198,Owen Wright,26,TAM,RB,3,0,0,0,0,0,,3,73,0,28,24.3,79,
199,Dareke Young,26,SEA,WR,9,0,0,0,0,0,,10,322,0,60,32.2,370,
